bird,group,active,pathway,area,slice,cFos_exact,ZENK_exact,cFos_Int,ZENK_Int,Total,Total_Int,cFos_percent,cFos,ZENK_percent,ZENK
14,ALAN,yes,Movement,Nb,3,0.3,5.2,3,52,100,1000,0.3,0,5.2,5
15,ALAN,yes,Movement,Nb,1,0,3.8,0,38,100,1000,0,0,3.8,4
15,ALAN,yes,Movement,Nb,2,0,14.4,0,144,100,1000,0,0,14.4,14
16,day,yes,Movement,Nb,1,0,11.4,0,114,100,1000,0,0,11.4,11
16,day,yes,Movement,Nb,2,0,26.1,0,261,100,1000,0,0,26.1,26
16,day,yes,Movement,Nb,3,0.9,23.6,9,236,100,1000,0.9,1,23.6,24
18,night,no,Movement,Nb,1,0,6.6,0,66,100,1000,0,0,6.6,7
18,night,no,Movement,Nb,2,0,7.2,0,72,100,1000,0,0,7.2,7
18,night,no,Movement,Nb,3,0,11.7,0,117,100,1000,0,0,11.7,12
20,ALAN,yes,Movement,Nb,1,0,8.1,0,81,100,1000,0,0,8.1,8
20,ALAN,yes,Movement,Nb,2,0,6.3,0,63,100,1000,0,0,6.3,6
20,ALAN,yes,Movement,Nb,3,0,4.2,0,42,100,1000,0,0,4.2,4
21,night,no,Movement,Nb,1,0,6,0,60,100,1000,0,0,6,6
22,night,no,Movement,Nb,1,0,12.3,0,123,100,1000,0,0,12.3,12
24,day,yes,Movement,Nb,1,0.4,12.9,4,129,100,1000,0.4,0,12.9,13
24,day,yes,Movement,Nb,2,1.9,42.5,19,425,100,1000,1.9,2,42.5,43
24,day,yes,Movement,Nb,3,0.2,7.9,2,79,100,1000,0.2,0,7.9,8
3,ALAN,no,Extra,S,1,3,8,3,8,179,179,0.016759777,3,0.044692737,8
2,ALAN,no,Extra,S,1,33,0,33,0,479,479,0.068893528,33,0,0
4,day,yes,Extra,S,1,44,40,44,40,411,411,0.107055961,44,0.097323601,40
6,day,yes,Extra,S,1,14,62,14,62,983,983,0.014242116,14,0.063072228,62
14,ALAN,yes,Extra,S,1,44,101,44,101,1350,1350,0.032592593,44,0.074814815,101
14,ALAN,yes,Extra,S,2,9,9,9,9,391,391,0.023017903,9,0.023017903,9
14,ALAN,yes,Extra,S,3,14,37,14,37,491,491,0.028513238,14,0.075356415,37
15,ALAN,yes,Extra,S,1,1,10,1,10,513,513,0.001949318,1,0.019493177,10
16,day,yes,Extra,S,1,2,38,2,38,751,751,0.002663116,2,0.050599201,38
18,night,no,Extra,S,1,3,17,3,17,258,258,0.011627907,3,0.065891473,17
22,night,no,Extra,S,1,3,54,3,54,629,629,0.004769475,3,0.085850556,54
22,night,no,Extra,S,2,13,28,13,28,173,173,0.075144509,13,0.161849711,28
2,ALAN,no,Extra,HP,1,1,9,1,9,804,804,0.001243781,1,0.01119403,9
3,ALAN,no,Extra,HP,1,3,8,3,8,205,205,0.014634146,3,0.03902439,8
3,ALAN,no,Extra,HP,2,0,14,0,14,1119,1119,0,0,0.012511171,14
3,ALAN,no,Extra,HP,3,1,0,1,0,637,637,0.001569859,1,0,0
4,day,yes,Extra,HP,1,1,7,1,7,711,711,0.00140647,1,0.009845288,7
13,night,no,Extra,HP,1,0,4,0,4,153,153,0,0,0.026143791,4
14,ALAN,yes,Extra,HP,1,1,6,1,6,569,569,0.001757469,1,0.010544815,6
14,ALAN,yes,Extra,HP,2,2,1,2,1,167,167,0.011976048,2,0.005988024,1
14,ALAN,yes,Extra,HP,3,25,26,25,26,429,429,0.058275058,25,0.060606061,26
15,ALAN,yes,Extra,HP,1,3,9,3,9,139,139,0.021582734,3,0.064748201,9
16,day,yes,Extra,HP,1,0,1,0,1,83,83,0,0,0.012048193,1
16,day,yes,Extra,HP,2,2,20,2,20,156,156,0.012820513,2,0.128205128,20
18,night,no,Extra,HP,1,1,0,1,0,131,131,0.007633588,1,0,0
18,night,no,Extra,HP,2,12,20,12,20,278,278,0.043165468,12,0.071942446,20
20,ALAN,yes,Extra,HP,1,0,2,0,2,177,177,0,0,0.011299435,2
21,night,no,Extra,HP,1,16,171,16,171,1326,1326,0.012066365,16,0.128959276,171
22,night,no,Extra,HP,1,1,9,1,9,1108,1108,0.000902527,1,0.008122744,9
22,night,no,Extra,HP,2,0,35,0,35,636,636,0,0,0.055031447,35
22,night,no,Extra,HP,3,21,40,21,40,149,149,0.140939597,21,0.268456376,40
24,day,yes,Extra,HP,1,8,7,8,7,219,219,0.03652968,8,0.03196347,7
24,day,yes,Extra,HP,2,1,3,1,3,646,646,0.001547988,1,0.004643963,3
